gene_name	chrom	start	end	MeanExp	d	LOCK_group	MD_anno	index	OG_TSG_anno	TorN	max	min	singleValue
COL9A1	chr6	70215060	70303084	-1.02636188061569	88024	Shared LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	-0.520734879001283	-1.40082848304781	COL9A1|Shared LOCKs
CPXM2	chr10	123745638	123944104	-1.00885038582544	198466	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	CPXM2|Tumor-loss LOCKs
CPXM2	chr10	123745638	123944104	-0.999587469077771	198466	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	CPXM2|Tumor-loss LOCKs
CTNND2	chr5	10971835	11904446	-0.958266067459914	932611	Tumor-gain LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	-0.764065582341843	-1.16951600764962	CTNND2|Tumor-gain LOCKs
CTNND2	chr5	10971835	11904446	-1.02008854675932	932611	Tumor-gain LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.486871000325435	-2.21429406765828	CTNND2|Tumor-gain LOCKs
CXCR2	chr2	218125293	218137251	-0.873263047697736	11958	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	CXCR2|Tumor-loss LOCKs
CXCR2	chr2	218125293	218137251	-0.985065231043042	11958	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	CXCR2|Tumor-loss LOCKs
DIRAS2	chr9	90609831	90642824	-1.02636188061569	32993	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	DIRAS2|Tumor-loss LOCKs
DIRAS2	chr9	90609831	90642824	-0.96806747383807	32993	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	DIRAS2|Tumor-loss LOCKs
DNAH8	chr6	38715310	39030792	-0.984021582613754	315482	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	DNAH8|Tumor-loss LOCKs
DNAH8	chr6	38715310	39030792	-1.01923414588861	315482	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	DNAH8|Tumor-loss LOCKs
DOK5	chr20	54475592	54651169	-0.981634690020261	175577	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	DOK5|Tumor-loss LOCKs
DOK5	chr20	54475592	54651169	-0.994191807955447	175577	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	DOK5|Tumor-loss LOCKs
DPP6	chr7	153748132	154894285	-0.995705049003245	1146153	Tumor-gain LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	-0.764065582341843	-1.16951600764962	DPP6|Tumor-gain LOCKs
DPP6	chr7	153748132	154894285	-1.01687877442615	1146153	Tumor-gain LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.486871000325435	-2.21429406765828	DPP6|Tumor-gain LOCKs
DYNC1I1	chr7	95772553	96110322	-0.928374452218543	337769	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	DYNC1I1|Tumor-loss LOCKs
DYNC1I1	chr7	95772553	96110322	0.382374536814968	337769	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	DYNC1I1|Tumor-loss LOCKs
EBF2	chr8	25841724	26045413	-1.02636188061569	203689	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	EBF2|Tumor-loss LOCKs
EBF2	chr8	25841724	26045413	-0.999587469077771	203689	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	EBF2|Tumor-loss LOCKs
EFCAB6	chr22	43528777	43812305	-0.677668852147426	283528	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	EFCAB6|Tumor-loss LOCKs
EFCAB6	chr22	43528777	43812305	-0.801190958398842	283528	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	EFCAB6|Tumor-loss LOCKs
ELMO1	chr7	36852905	37449326	-1.02636188061569	596421	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	ELMO1|Tumor-loss LOCKs
ELMO1	chr7	36852905	37449326	-0.970105971632845	596421	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	ELMO1|Tumor-loss LOCKs
EPHB1	chr3	134795259	135260467	-0.918390621274672	465208	Tumor-gain LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.486871000325435	-2.21429406765828	EPHB1|Tumor-gain LOCKs
EPHB1	chr3	134795259	135260467	-0.957410018288528	465208	Tumor-gain LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	-0.764065582341843	-1.16951600764962	EPHB1|Tumor-gain LOCKs
EPX	chr17	58192725	58205174	-0.732216964998331	12449	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	EPX|Tumor-loss LOCKs
EPX	chr17	58192725	58205174	-0.689327510600044	12449	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	EPX|Tumor-loss LOCKs
EYA1	chr8	71197432	71548094	-0.73094783633752	350662	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	EYA1|Tumor-loss LOCKs
EYA1	chr8	71197432	71548094	-0.153625941999917	350662	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	EYA1|Tumor-loss LOCKs
EYA4	chr6	133240592	133532128	-0.647181977810902	291536	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	EYA4|Tumor-loss LOCKs
EYA4	chr6	133240592	133532128	-0.230454209724516	291536	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	EYA4|Tumor-loss LOCKs
FGF19	chr11	69698237	69704022	-1.02636188061569	5785	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	FGF19|Tumor-loss LOCKs
FGF19	chr11	69698237	69704022	-0.845999618823839	5785	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	FGF19|Tumor-loss LOCKs
FLT3	chr13	28003273	28100576	-1.02636188061569	97303	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	FLT3|Tumor-loss LOCKs
FLT3	chr13	28003273	28100576	-0.944407855436686	97303	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	FLT3|Tumor-loss LOCKs
FOXG1	chr14	28766786	28770277	0.100292101700032	3491	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	FOXG1|Tumor-loss LOCKs
FOXG1	chr14	28766786	28770277	-0.992261492627944	3491	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	FOXG1|Tumor-loss LOCKs
GFRA1	chr10	116056924	116274705	-1.02636188061569	217781	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	GFRA1|Tumor-loss LOCKs
GFRA1	chr10	116056924	116274705	-0.867053031754411	217781	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	GFRA1|Tumor-loss LOCKs
GPR141	chr7	37683765	37743835	0.263027038029094	60070	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	GPR141|Tumor-loss LOCKs
GPR141	chr7	37683765	37743835	-0.979415414593061	60070	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	GPR141|Tumor-loss LOCKs
GRID2	chr4	92303965	93810456	-0.999587469077771	1506491	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	GRID2|Tumor-loss LOCKs
GRID2	chr4	92303965	93810456	-1.02636188061569	1506491	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	GRID2|Tumor-loss LOCKs
GRIK3	chr1	36795526	37034515	-0.999587469077771	238989	Tumor-gain LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	-0.764065582341843	-1.16951600764962	GRIK3|Tumor-gain LOCKs
GRIK3	chr1	36795526	37034515	-1.02636188061569	238989	Tumor-gain LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.486871000325435	-2.21429406765828	GRIK3|Tumor-gain LOCKs
GRIN2A	chr16	9753403	10182908	-0.993138917031436	429505	Tumor-gain LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	-0.764065582341843	-1.16951600764962	GRIN2A|Tumor-gain LOCKs
GRIN2A	chr16	9753403	10182908	-1.02636188061569	429505	Tumor-gain LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.486871000325435	-2.21429406765828	GRIN2A|Tumor-gain LOCKs
HCRTR2	chr6	55106468	55284713	-0.999587469077771	178245	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	HCRTR2|Tumor-loss LOCKs
HCRTR2	chr6	55106468	55284713	-1.02636188061569	178245	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	HCRTR2|Tumor-loss LOCKs
HGF	chr7	81699009	81770047	-0.988995296695926	71038	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	HGF|Tumor-loss LOCKs
HGF	chr7	81699009	81770047	-1.02636188061569	71038	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	HGF|Tumor-loss LOCKs
HLA-DQA2	chr6	32741390	32747198	-1.02636188061569	5808	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	HLA-DQA2|Tumor-loss LOCKs
HLA-DQA2	chr6	32741390	32747198	-0.999587469077771	5808	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	HLA-DQA2|Tumor-loss LOCKs
HLA-DRA	chr6	32439886	32445046	0.106036543307897	5160	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	HLA-DRA|Tumor-loss LOCKs
HLA-DRA	chr6	32439886	32445046	-0.491098114022743	5160	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	HLA-DRA|Tumor-loss LOCKs
HS3ST2	chr16	22814161	22916338	-1.02636188061569	102177	Shared LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	-0.520734879001283	-1.40082848304781	HS3ST2|Shared LOCKs
HS3ST2	chr16	22814161	22916338	-0.999587469077771	102177	Shared LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	-0.588566363298394	-1.26758191506116	HS3ST2|Shared LOCKs
HTR3B	chr11	113898922	113949079	-1.02636188061569	50157	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	HTR3B|Tumor-loss LOCKs
HTR3B	chr11	113898922	113949079	-0.977258700728264	50157	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	HTR3B|Tumor-loss LOCKs
IFNA10	chr9	21206180	21207143	-1.02636188061569	963	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	IFNA10|Tumor-loss LOCKs
IFNA10	chr9	21206180	21207143	-0.999587469077771	963	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	IFNA10|Tumor-loss LOCKs
IQCF2	chr3	51861614	51863424	-0.999587469077771	1810	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	IQCF2|Tumor-loss LOCKs
IQCF2	chr3	51861614	51863424	-1.02636188061569	1810	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	IQCF2|Tumor-loss LOCKs
IQCF3	chr3	51826882	51830856	-1.02636188061569	3974	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	IQCF3|Tumor-loss LOCKs
IQCF3	chr3	51826882	51830856	-0.999587469077771	3974	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	IQCF3|Tumor-loss LOCKs
ITIH5	chr10	7559269	7666966	-1.02636188061569	107697	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	0.263027038029094	-2.0432727953201	ITIH5|Tumor-loss LOCKs
ITIH5	chr10	7559269	7666966	-0.996340906476409	107697	Tumor-loss LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	0.471310303189969	-2.02248421278991	ITIH5|Tumor-loss LOCKs
JAKMIP1	chr4	6024914	6200549	-0.999587469077771	175635	Shared LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	-0.588566363298394	-1.26758191506116	JAKMIP1|Shared LOCKs
JAKMIP1	chr4	6024914	6200549	-1.02636188061569	175635	Shared LOCKs	common PMDs	NE2_KYSE450.N	OG	NE2	-0.520734879001283	-1.40082848304781	JAKMIP1|Shared LOCKs
KALRN	chr3	124033368	124726325	-0.914788370134337	692957	Shared LOCKs	common PMDs	NE2_KYSE450.T	OG	KYSE450	-0.588566363298394	-1.26758191506116	KALRN|Shared LOCKs
